Manufacturer,Model,Price,Transmission,Power,Engine CC,Fuel,Male,Female,Unknown,Total
Volvo,S40,35.28132353,5.176470588,113.3529412,2106.5,petrol,"41,358","13,625","3,194","58,177"
Rover,75,39.35238095,5,98.04761905,1928.714286,petrol,"46,997","8,060","2,388","57,445"
Citroen,Berlingo,27.4386,6.34,85.28,1452,diesel,"37,450","16,005","2,902","56,357"
Suzuki,Alto,9.5628,4.6,50,996,petrol,"21,062","30,777","4,330","56,169"
Nissan,Primera,26.51269565,4.02173913,93.58695652,1933.021739,petrol,"41,096","11,421","3,286","55,803"
Hyundai,I20,21.847,6.090909091,70.72727273,1052.272727,petrol,"26,734","26,745","2,019","55,498"
Mercedes,SLK,61.86283333,6.833333333,184.1666667,2748.333333,petrol,"24,741","25,424","3,794","53,959"
Ford,S-MAX,47.52333333,6,128.8888889,1886.555556,diesel,"31,973","17,823","2,374","52,170"
Mercedes,ML,77.41666667,7,188.3333333,2876,diesel,"35,260","13,819","3,081","52,160"
Kia,Sportage,43.97,6.6,115.3,1634.2,diesel,"32,328","17,864","1,642","51,834"
Peugeot,407,38.72769231,5.538461538,114.6538462,2178.192308,diesel,"40,589","8,990","2,246","51,825"
Citroen,C2,15.14,5,64,1382.75,petrol,"21,142","27,977","2,495","51,614"
Hyundai,I30,28.60918919,5.945945946,100.5945946,1387.621622,petrol,"31,244","18,187","2,059","51,490"
Jaguar,XF,78.74625,8,176.25,1997,diesel,"43,857","4,860","1,940","50,657"
Audi,A1,27.08277108,6.228915663,86.63855422,1377.566265,petrol,"17,678","29,771","2,342","49,791"
Mitsubishi,Colt,17.03876744,5.302325581,73.48837209,1374.046512,petrol,"20,915","25,109","2,781","48,805"
Audi,A5,59.43242424,7,150.4545455,1981.818182,petrol,"35,411","9,131","2,161","46,703"
Ford,Kuga,38.7525,0,165,2488,petrol,"27,761","16,836","1,331","45,928"
Toyota,Prius,33.798,0,96,1797.4,petrol,"29,616","10,848","4,383","44,847"
Jaguar,S-Type,66.58842105,5.736842105,172.3157895,2934.631579,petrol,"36,990","5,033","1,853","43,876"
Volvo,V50,36.52419118,5.176470588,113.3529412,2106.5,petrol,"29,574","11,687","2,481","43,742"
Ford,Escort,16.20874359,4.461538462,63.56410256,1650.205128,petrol,"31,223","10,678","1,626","43,527"
Volvo,XC90,85.82946154,8,213.1538462,1969,petrol,"26,579","12,860","2,834","42,273"
Citroen,C5,34.9090566,5.603773585,104.2264151,1805.924528,diesel,"33,777","6,565","1,831","42,173"
Volvo,V40,35.81481651,6.293577982,117.4311927,1921.46789,petrol,"28,059","10,836","2,413","41,308"
BMW,X3,76.5922,8,184,2396.4,petrol,"24,013","13,661","2,645","40,319"
Volkswagen,Tiguan,44.30857143,6.714285714,108,1663.928571,petrol,"23,104","14,542","1,750","39,396"
Mercedes,B,41.38957143,7.285714286,105.7142857,1545.428571,diesel,"19,092","15,501","2,148","36,741"
Smart,Fortwo,19.9680625,2.8125,55.375,592.5625,automatic,"17,738","16,848","2,113","36,699"
Volkswagen,Bora,25.39952941,4.647058824,78.85294118,1891.588235,petrol,"26,706","7,942","1,758","36,406"
Rover,45,23.322,3.75,84.2,1853.9,petrol,"25,441","8,533","1,547","35,521"
Porsche,911,158.7922667,7.466666667,293.5333333,3005.4,petrol,"29,960","3,418","1,599","34,977"
Jaguar,XJ,137.5695455,8,223.5454545,2813,petrol,"30,739","2,641","1,496","34,876"
Subaru,Impreza,30.5976,1.8,97.6,1757.6,petrol,"27,537","5,965","1,348","34,850"
Saab,09-May,52.95719388,5.653061224,146.122449,2031.469388,petrol,"26,909","5,562","1,856","34,327"
Toyota,Celica,31.5255,5.166666667,109.6666667,1861.833333,petrol,"23,509","8,349","1,694","33,552"
Volkswagen,Sharan,45.6995,6,114,1854.2,diesel,"23,214","7,747","2,551","33,512"
Hyundai,Santa,44.14181818,6.545454545,144.6363636,2242.636364,diesel,"22,644","9,212","1,516","33,372"
Peugeot,208,22.84857143,6.523809524,73.23809524,1241.857143,petrol,"13,875","17,430","1,215","32,520"
Volvo,S60,52.085,8,223.8333333,1969,petrol,"25,331","4,913","1,689","31,933"
Citroen,DS3,23.35964286,5.25,81.28571429,1410.357143,petrol,"13,057","17,367","1,231","31,655"
Renault,Modus,17.82333333,4.666666667,70.33333333,1298.666667,petrol,"13,701","15,260","1,747","30,708"
MG,ZR,21.02333333,5,92.33333333,1729.333333,petrol,"19,477","9,964","1,264","30,705"
Chrysler,Voyager,39.70773684,4.842105263,117.5789474,2719.842105,diesel,"19,359","9,318","1,712","30,389"
Kia,Sorento,36.01325,6,151.6666667,2048.666667,petrol,"20,969","7,821",907,"29,697"
BMW,Z4,64.109625,6.75,202.125,2778,petrol,"19,343","8,462","1,748","29,553"
Rover,2000,17.182,5,74,1994,petrol,"17,725","10,492","1,320","29,537"
Volkswagen,Up,17.065625,5.125,51.375,999,petrol,"10,220","17,894","1,082","29,196"
Suzuki,Jimny,25.94322222,4.777777778,67,1372.666667,petrol,"14,101","12,767","1,973","28,841"
Chevrolet,Matiz,9.492272727,4.909090909,40.81818182,850.2727273,petrol,"9,404","17,374","1,692","28,470"
Porsche,Boxster,83.50125,6.5,213.5,3071,petrol,"20,033","6,312","1,597","27,942"
Suzuki,Wagon,9.8628,5,50,1090.4,petrol,"12,629","12,804","1,891","27,324"
Peugeot,3008,40.98307692,7.307692308,114.2692308,1352.576923,petrol,"17,213","8,974","1,071","27,258"
Mazda,323,17.34364706,4.745098039,70.92156863,1683.607843,petrol,"15,999","9,404","1,566","26,969"
Ford,Puma,30.3775,6.3125,94.0625,935.625,petrol,"11,079","14,037","1,749","26,865"
Fiat,Stilo,22.77681818,5.272727273,92.36363636,1837.363636,petrol,"15,843","8,974","1,340","26,157"
Volkswagen,Scirocco,33.70615385,6.153846154,120.1538462,1750.615385,petrol,"17,313","6,728","1,072","25,113"
Jaguar,XK,145.6466667,6,283,5000,petrol,"20,604","3,013","1,154","24,771"
Seat,Altea,27.13,5.768421053,96.05263158,1774.778947,diesel,"14,157","9,495",999,"24,651"
Volvo,C30,32.4898913,5.304347826,113.2826087,2093.021739,petrol,"13,551","9,639","1,421","24,611"
Hyundai,Accent,14.293,4.6,75.4,1479,petrol,"13,520","8,849","1,296","23,665"
Volkswagen,Lupo,13.88308333,4.75,47.75,1373.75,petrol,"8,828","12,512","1,320","22,660"
Mercedes,Sprinter,43.06842105,6.254385965,104.2017544,2222.710526,diesel,"18,660","2,239","1,630","22,529"
Hyundai,Ix35,38.9,5.84,113.84,1926,diesel,"13,708","7,991",660,"22,359"
Renault,Kangoo,18.76848837,4.860465116,67.02325581,1391.023256,diesel,"13,273","7,486","1,332","22,091"
Mazda,5,22.12540909,5.5,75.09090909,1622.681818,petrol,"12,385","8,561","1,099","22,045"
Volkswagen,Jetta,31.30566667,6.259259259,96.92592593,1587.222222,petrol,"16,259","4,610",989,"21,858"
Seat,Alhambra,49.82277778,6,115.8333333,1746.944444,petrol,"14,659","5,610","1,284","21,553"
Renault,Espace,59,7,166,1798,petrol,"14,370","5,657","1,245","21,272"
Suzuki,Ignis,19.45142857,3.571428571,61,1197,petrol,"9,623","10,103","1,499","21,225"
Suzuki,SX4,20.6695,4.75,88,1586,petrol,"10,925","9,035","1,217","21,177"
Kia,Carens,31.195,6,105.875,1755.75,petrol,"13,424","6,193",866,"20,483"
Audi,Q5,64.50769231,6.846153846,144.2307692,2048.538462,diesel,"12,761","6,588","1,044","20,393"
Mercedes,CLA,46.5274,7.04,131.6,1596.92,petrol,"16,634","2,550","1,069","20,253"
Peugeot,Partner,20.36464286,5.857142857,82.25,1534.392857,diesel,"13,570","5,531",989,"20,090"
Subaru,Forester,51.646,0,110,1995,petrol,"13,236","5,511","1,307","20,054"
Skoda,Yeti,30.351,6.3,83.5,1452.3,petrol,"13,365","5,800",883,"20,048"
Volkswagen,Touareg,94.098125,8,190,2967,diesel,"14,059","4,973",906,"19,938"
Fiat,Seicento,8.17,5,40,1108,petrol,"7,901","10,570","1,075","19,546"
Skoda,Superb,39.725,6.8,110,1592,petrol,"16,399","2,367",763,"19,529"
Fiat,Bravo,22.455,6,92.30769231,1466.307692,petrol,"11,663","7,015",837,"19,515"
BMW,X1,51.44133333,7.2,123.9333333,1863.133333,diesel,"10,717","7,442","1,268","19,427"
Audi,Q7,106.5488889,8,210,2976.333333,diesel,"13,244","4,579",981,"18,804"
Alfa-Romeo,147,25.3433871,5.193548387,95.09677419,1802.774194,petrol,"11,552","5,743","1,064","18,359"
Toyota,MR2,34.19,6,103,1794,petrol,"11,658","5,595",925,"18,178"
BMW,740i,115.533,8,250,2998,petrol,"15,286","1,519","1,055","17,860"
MG,TF,32.09,4,98.2,1754.4,petrol,"10,315","6,485",930,"17,730"
Volvo,S80,50.94,6.266666667,138.2833333,1986.766667,diesel,"14,400","2,261",963,"17,624"
Volkswagen,Fox,12.49833333,5,48.66666667,1336.666667,petrol,"6,154","10,468",995,"17,617"
Renault,Twingo,14.94,5.2,59.6,958.6,petrol,"6,015","10,447",672,"17,134"
Mitsubishi,Lancer,23.01661538,4.730769231,90.88461538,1709.538462,petrol,"12,773","3,703",607,"17,083"
Fiat,Doblo,25.17006452,5.516129032,79.30645161,1523.741935,diesel,"11,730","4,440",900,"17,070"
Volkswagen,Eos,42.2862,6,113.8,1740,petrol,"6,660","9,047","1,352","17,059"
BMW,M3,135.1055,6.5,309,3999,petrol,"14,930","1,383",661,"16,974"
Chrysler,PT,29.88478947,4.736842105,109.1052632,2238.631579,petrol,"9,477","6,366","1,029","16,872"
Hyundai,Matrix,18.513,4.6,76,1599,petrol,"9,531","6,321",789,"16,641"
Toyota,IQ,17.31777778,3.666666667,58.44444444,1152.888889,petrol,"6,539","8,634","1,288","16,461"
Mercedes,SLS,264.675,7,420,6208,petrol,"12,431","3,121",879,"16,431"
Audi,A2,23.0525,5,55,1406,petrol,"7,516","7,685","1,211","16,412"
BMW,Z3,39.7374,4.6,115,2234.4,petrol,"9,579","5,143",969,"15,691"
Volvo,C70,52.19640625,5.3125,126.5,2323.9375,petrol,"10,078","4,642",893,"15,613"
Skoda,Roomster,20.9225,5.375,68.875,1272.4375,petrol,"9,000","5,670",799,"15,469"
Suzuki,Splash,13.1466,4.8,55.4,1144.8,petrol,"6,376","7,977",905,"15,258"
Toyota,Previa,43.08,4.666666667,105,2239.666667,petrol,"10,252","3,863","1,118","15,233"
Toyota,Starlet,11.389,4.142857143,53,1308.285714,petrol,"6,266","7,546",811,"14,623"
Chevrolet,Aveo,18.615,5.2,69.6,1330.4,petrol,"6,945","6,839",728,"14,512"
Volvo,XC70,58.46907407,6.444444444,148.5185185,2174.037037,diesel,"10,247","3,053",967,"14,267"
Hyundai,Tucson,41.59161538,6.461538462,111.3076923,1624.769231,petrol,"9,004","4,687",571,"14,262"
Subaru,Legacy,37.52210345,3.896551724,107.3793103,2084.37931,petrol,"10,398","2,989",823,"14,210"
Porsche,Cayenne,158.976,8,326,3295,petrol,"10,034","3,418",731,"14,183"
Alfa-Romeo,156,32.898125,5.333333333,116.2916667,2081.375,petrol,"10,882","2,428",646,"13,956"
BMW,640i,114.8758333,8,235,2979,petrol,"11,265","1,708",694,"13,667"
Chevrolet,Spark,11.395,5,52.5,1047.75,petrol,"5,142","7,685",744,"13,571"
Chevrolet,Kalos,14.22409091,4.727272727,64.45454545,1353.363636,petrol,"6,012","6,758",769,"13,539"
Mitsubishi,Outlander,37.44666667,2.611111111,120.3333333,2085.055556,petrol,"8,910","3,970",620,"13,500"
Nissan,Pixo,9.465666667,4.666666667,50,996,petrol,"4,700","8,094",615,"13,409"
Honda,FR-V,33.12857143,5.285714286,103,1914.714286,petrol,"7,167","5,292",782,"13,241"
Daihatsu,Sirion,14.333375,4.5625,59.875,1183.25,petrol,"5,141","7,106",739,"12,986"
Rover,Mini,7.92,4,33.33333333,868.3333333,petrol,"7,690","4,739",550,"12,979"
Kia,Venga,23.58666667,5.25,81.16666667,1509.75,petrol,"7,343","5,303",290,"12,936"
Ford,Streetka,26,5,70,1597,petrol,"2,304","9,672",899,"12,875"
Skoda,Felicia,11.370625,5,48,1518,petrol,"7,729","4,375",640,"12,744"
Nissan,Terrano,37.01736842,4.736842105,97.57894737,2697.368421,diesel,"9,143","3,027",569,"12,739"
Mitsubishi,Space,23.16515789,3.947368421,82.15789474,1817.315789,petrol,"7,314","4,690",716,"12,720"
Mitsubishi,Carisma,22.69,4.8,82.2,1773.7,petrol,"9,003","3,084",630,"12,717"
Chevrolet,Lacetti,18.76285714,4.714285714,80.42857143,1612.928571,petrol,"8,102","3,942",666,"12,710"
MG,ZT,42.74666667,5,128.5,2548.833333,petrol,"10,660","1,541",405,"12,606"
Mercedes,CLC,42.5595,6.166666667,131.6666667,2313.666667,petrol,"6,065","5,405",737,"12,207"
Land-Rover,Defender,108.7471951,7.853658537,207.6097561,2304.97561,diesel,"9,293","2,167",668,"12,128"
Seat,Arosa,13.70454545,4.818181818,47.45454545,1384,petrol,"4,800","6,549",573,"11,922"
MG,ZS,30.99,0,105,335,automatic,"8,948","2,277",392,"11,617"
Honda,HR-V,32.723,3.6,96,1498,petrol,"6,436","4,377",715,"11,528"
Smart,City-coupe,13.2053,6,35.8,679,petrol,"4,946","5,197",662,"10,805"
Daihatsu,Terios,26.19775,4.625,77,1495,petrol,"4,903","5,230",641,"10,774"
Toyota,Carina,17.44569231,4.692307692,68.26923077,1791.230769,petrol,"7,738","2,453",579,"10,770"
Fiat,Multipla,25.2075,5,80.5,1753,petrol,"6,043","3,615",636,"10,294"
Audi,A8,116.545,8,230,2981,petrol,"8,781",749,545,"10,075"
Kia,Soul,33.495,0,81,285,automatic,"5,504","4,181",383,"10,068"
Skoda,Citigo,12.6825,5,45,999,petrol,"3,867","4,960",404,"9,231"
Suzuki,Liana,18.88233333,4.666666667,74,1523.333333,petrol,"5,205","3,467",543,"9,215"
Bentley,Continental,285.247,7.2,428.2,5577.8,petrol,"7,602","1,024",406,"9,032"
Chevrolet,Captiva,55.62,6,145.75,2460.75,petrol,"5,701","2,875",425,"9,001"
Nissan,Pathfinder,60.9552,5.5,146,2588.6,diesel,"6,393","2,239",325,"8,957"
Peugeot,205,13.11525,4.75,50.875,1430.75,petrol,"5,690","2,841",412,"8,943"
Saab,900,37.00904545,4.590909091,114.6818182,2208.090909,petrol,"6,096","2,050",608,"8,754"
Ford,B-MAX,22.91875,5.25,75.5,1288.5,petrol,"5,001","3,496",187,"8,684"
Volvo,940,30.236875,4.5,110,2316,petrol,"6,659","1,547",463,"8,669"
Seat,Toledo,20.37,5.642857143,74.21428571,1324.357143,petrol,"6,234","2,009",371,"8,614"
Hyundai,Ix20,27.4066,6,89,1552,petrol,"5,033","3,351",223,"8,607"
Volvo,850,36.38445588,4.5,125.7058824,2294.764706,petrol,"6,702","1,438",427,"8,567"
Toyota,Verso-S,22.047,3.6,73,1329,petrol,"4,955","2,986",571,"8,512"
Audi,S3,60.87,6.75,228,1984,petrol,"6,675","1,345",322,"8,342"
Alfa-Romeo,159,43.26150943,5.905660377,135.3773585,2276,diesel,"6,851","1,024",383,"8,258"
Daewoo,Lanos,13.24516667,4.833333333,66.66666667,1506.5,petrol,"4,259","3,305",472,"8,036"
Smart,Forfour,24.674,0,60,160,automatic,"3,137","4,251",578,"7,966"
Citroen,C8,45.59125,5.25,104.1666667,2027.833333,petrol,"4,896","2,619",420,"7,935"
Mazda,626,20.7195,4.71875,81.375,1950.90625,petrol,"5,710","1,753",430,"7,893"
Dacia,Sandero,14.04,5,66,898,petrol,"4,395","3,269",209,"7,873"
Peugeot,807,45.76307692,5.307692308,109.0769231,2053,diesel,"4,829","2,435",433,"7,697"
Peugeot,5008,42.50666667,7.142857143,99.52380952,1294.142857,petrol,"4,563","2,622",395,"7,580"
Mitsubishi,ASX,33.40333333,0,110,1998,petrol,"4,639","2,546",320,"7,505"
Porsche,Cayman,84.60125,6.5,220.5,3071,petrol,"5,864","1,082",362,"7,308"
Chrysler,300C,70.31925,4.5,199,4123.5,petrol,"6,232",767,249,"7,248"
Mercedes,300,62.39565385,4.384615385,135.5,2972.307692,petrol,"5,685","1,175",385,"7,245"
Honda,Insight,24.612,0,72,1339,petrol,"4,587","2,144",460,"7,191"
Dacia,Duster,20.75666667,5.666666667,89.33333333,1332,petrol,"4,708","2,180",195,"7,083"
Lexus,CT,32.73833333,0,100,1798,petrol,"4,220","2,112",675,"7,007"
Peugeot,1007,18.657,5,59.58333333,1407.333333,petrol,"3,061","3,340",417,"6,818"
Peugeot,508,46.85390244,7.707317073,125.0487805,1642.04878,diesel,"5,657",919,231,"6,807"
Citroen,Xantia,24.84390244,4.756097561,84.92682927,1982.756098,petrol,"5,246","1,192",346,"6,784"
Peugeot,RCZ,38.93888889,6,135.5555556,1642.333333,petrol,"3,218","3,135",352,"6,705"
Nissan,350Z,55.4225,6,221,3498,petrol,"5,649",800,218,"6,667"
Mazda,Demio,14.7754,4.8,51.4,1428.4,petrol,"3,090","2,953",397,"6,440"
Honda,S2000,55.25,6,177,1997,petrol,"4,891","1,201",281,"6,373"
Mercedes,190,36.64326667,4.466666667,88.73333333,2284.133333,petrol,"4,841","1,082",348,"6,271"
Hyundai,Trajet,30.352,4.4,99,2117.6,petrol,"3,984","1,926",310,"6,220"
Chevrolet,Tacuma,20.20388889,4.777777778,82.33333333,1775.777778,petrol,"3,634","2,138",390,"6,162"
Alfa-Romeo,GT,37.350625,5.375,121.0625,1972.8125,petrol,"4,892",989,275,"6,156"
Mazda,Premacy,23.22409091,4.909090909,82,1938,petrol,"3,819","1,990",340,"6,149"
Citroen,ZX,16.05676923,4.923076923,67,1703.153846,petrol,"3,972","1,837",300,"6,109"
Volvo,V60,50.48413043,7.304347826,150.6086957,1969,diesel,"4,321","1,290",379,"5,990"
Fiat,Brava,17.22277778,4.888888889,70,1615.333333,petrol,"3,555","2,067",364,"5,986"
Audi,S4,95.29916667,6.333333333,253.6666667,3764.333333,petrol,"4,985",692,214,"5,891"
BMW,X6,125.49625,8,282.25,3344.75,petrol,"4,371","1,148",294,"5,813"
Subaru,Outback,53.62733333,0,122.6666667,2331.333333,petrol,"4,060","1,324",410,"5,794"
Dodge,Caliber,26.59125,4.125,108.625,1911.75,petrol,"3,537","1,839",271,"5,647"
Ford,Maverick,29.151,5,89,2526.5,petrol,"4,054","1,123",246,"5,423"
Rover,Streetwise,20.74,5,75,1695,petrol,"3,028","2,110",282,"5,420"
Rover,CityRover,11.74,5,63,1405,petrol,"2,351","2,603",398,"5,352"
Kia,Cerato,19.895,4.8,94,1742.6,petrol,"3,240","1,779",238,"5,257"
Lotus,Elise,53.792,6,134.3333333,1730,petrol,"4,463",462,214,"5,139"
Ford,Cougar,32.11766667,4.666666667,115.3333333,2362,petrol,"3,669",933,224,"4,826"
Smart,Roadster-coupe,24.35,6,60,698,petrol,"3,014","1,462",317,"4,793"
Aston-Martin,Vantage,360.755,6,410,5341,petrol,"4,192",359,191,"4,742"
Hyundai,I40,35.535,6,93.6,1647.4,diesel,"3,793",742,139,"4,674"
Chevrolet,Cruze,28.17,5.583333333,103,1706.333333,petrol,"3,389","1,045",201,"4,635"
Seat,Exeo,33.8615625,5.375,116.25,1925.25,petrol,"3,722",659,147,"4,528"
Toyota,Urban,20.21333333,6,74,1329,petrol,"2,025","2,036",296,"4,357"
Seat,Mii,11.917,5,49.13333333,999,petrol,"1,693","2,445",189,"4,327"
Audi,A7,87.12,8,190,2967,diesel,"3,715",401,162,"4,278"
Peugeot,405,20.43008333,4.791666667,69.875,1773,petrol,"3,321",747,148,"4,216"
Abarth,500C,21.105625,5,60.625,1039.5,petrol,"2,305","1,697",180,"4,182"
